,Depth ice/snow [m],δD H2O [‰ SMOW],δ18O H2O [‰ SMOW],Estimated Age [ka BP],Milan_ECC,Milan_OMEGA,Milan_OBL,Milan_PREC,Milan_90SJune,Milan_90SDec,delta-iso18o-Base at 6.6m,0.6*iso18o-Base at 6.6m,0.7*iso18o-Base at 6.6m,0.4*iso18o-Base at 6.6m,nearest_temp_age,Volume – km3,CO2,CH4
838,467.5,-429.5,-54.4,29.27,0.01713268,339.7024,22.2404,-0.005878599999999998,0.0,509.0105,-4.223999999999997,-2.534399999999998,-2.9567999999999977,-1.6895999999999987,,0.0,188.85593160585228,383.87442459952126
839,468.05,-441.5,-56.04,29.320105,0.01711684682,338.9067326,22.2414021,-0.006088038900000007,0.0,508.81759575,-5.863999999999997,-3.5183999999999984,-4.104799999999998,-2.345599999999999,,0.0,188.99724660673365,382.4905634321487
840,468.6,-436.2,-55.21,29.37186,0.01710049224,338.0848632,22.242437199999998,-0.006304374800000007,0.0,508.618339,-5.033999999999999,-3.020399999999999,-3.523799999999999,-2.0136,,0.0,189.14321523003701,381.0611305468605
841,469.15,-435.6,-55.19,29.42363,0.01708413292,337.26275560000005,22.2434726,-0.006520773399999997,0.0,508.4190245,-5.013999999999996,-3.0083999999999973,-3.5097999999999967,-2.0055999999999985,,0.0,189.28922615899876,379.63128337322775
842,469.7,-439.9,-55.76,29.47544,0.01706776096,336.44001280000003,22.2445088,-0.006737339199999996,0.0,508.219556,-5.583999999999996,-3.3503999999999974,-3.908799999999997,-2.2335999999999987,,0.0,189.43534990304954,378.20033143067576
843,470.25,-435.5,-55.29,29.527925,0.0170511757,335.606551,22.245558499999998,-0.0069567265,0.0,508.01748875,-5.113999999999997,-3.0683999999999982,-3.579799999999998,-2.045599999999999,,0.0,189.5833774017275,378.0102611940299
844,470.8,-439.7,-55.73,29.581220000000002,0.01703433448,334.76022639999996,22.246624399999998,-0.007179499600000008,0.0,507.812303,-5.553999999999995,-3.3323999999999967,-3.8877999999999964,-2.2215999999999982,,0.0,189.73368940595805,377.98009667330103
845,471.35,-442.5,-56.03,29.634550000000004,0.0170174822,333.91334599999993,22.247691,-0.007402419000000019,0.0,507.60698249999996,-5.853999999999999,-3.5123999999999995,-4.097799999999999,-2.3415999999999997,,0.0,189.8841001233915,374.947398350867
846,471.9,-442.1,-56.08,29.6879,0.0170006236,333.066148,22.248758,-0.007625421999999996,0.0,507.401585,-5.903999999999996,-3.5423999999999976,-4.132799999999997,-2.361599999999999,,0.0,190.03456724836946,371.9135626954792
847,472.45,-442.1,-56.07,29.740485,0.01698400674,332.2310982,22.2498097,-0.007845227299999999,0.0,507.19913275,-5.893999999999998,-3.536399999999999,-4.125799999999999,-2.3575999999999993,,0.0,190.18287678476995,368.92323002559004
