Oldest Age - Years BP,Ave Age -Years BP,Young Age - Years BP,Volcano (OR GEOLOGIC AGE),Location,Deposit (OR GEOLOGIC EVENT),VEI,Volume – km3,"Caldera -Diam, kmReference",(WEB1-WEB5 abbreviations expanded at the end),
1289000,1285000,"1,281,000 Yellowstone",,Idaho/Wyoming,Mesa Falls Tuff,,>280,85x45,"Christiansen (2001), Lanphere et al. (2002)",
1230000,1230000,"1,230,000 Mangakino (Ongatit Ig)",,New Zealand,Ongatit Ignimbrite,,>300,Briggs et al. (1993),,
1360000,1200000,"1,040,000 Toba",,Indonesia,Haranggoal Dacite,,,Chesner and Rose (1991),,
1120000,1120000,"1,120,000 Valles Caldera",,New Mexico,Upper member Bandelier Tuff,,,22,Heiken et al. (1990),
1010000,1010000,"1,010,000 Mangakino (Unit E)",,New Zealand,Unit E,,>300,Briggs et al. (1993),,
1000000,1000000,"1,000,000 Tenerife",,Canary Islands,Las Americas phase,,,Huertasa et al. (2002),,
970000,970000,"970,000 Mangakino (Rocky Hill Ig)",,New Zealand,Rocky Hill Ignimbrite,,>300,Briggs et al. (1993),,
790200,788000,"785,800 Toba (Porsea)",,Indonesia,Oldest Toba Tuff,,820,100x30 Lee et al. (2004),,
760700,758900,"757,100 Long Valley",,California,Bishop Tuff,,800,20x35,"Hildreth, W (1979), Sarna-Wojcicki et al. (2000)",
641000,639000,"637,000 Yellowstone",,Wyoming,Lava Creek Tuff,,>1000,85x45,"Christiansen (2001), Lanphere et al. (2002)",
607000,600000,"593,000 Tenerife",,Canary Islands,Granadilla phase,,52,"Bryan et al. (2000), Bryan (2006)",,
506000,501000,"496,000 Toba",,Indonesia,Middle Toba Tuff,,,Chesner and Rose (1991),,
780000,452500,"125,000 Newberry",,Oregon,?,,,8x6,Sherrod and Smith (2000),
450000,450000,"450,000 Diamante",,Argentina,,,450,20x16,"Newhall and Dzurisin (1988), Sruoga et al. (2005)",
700000,425000,"150,000 Banda del Sur phase",,"Tenerife, Canary Islan Las Cañadas caldera",,,,10x17,Huertasa et al. (2002),
385000,385000,"385,000 Roccamonfina",,Italy,,,100-125,65x55,"Newhall and Dzurisin (1988), De Rita and Giordano (1996)",
374000,374000,"374,000 Sabatini volcanic complex",,Italy,Morphi tephra,,> 200,Pyle et al. (1998),,
340000,340000,"340,000 Taupo Volcanic Zone",,New Zealand,Whakamaru Group,,>1000,Bryan et al. (2002),,
340000,335000,"330,000 Whakamaru",,New Zealand,,,,30x40,"Arehart et al. (2002), Black et al. (1996), WEB3",
300000,300000,"300,000 Kirishima (Kakuto Caldera)",,Japan,,,40,hakone.eri.u-tokyo.ac.jp/vrc/erup/kiri.html,,
280000,280000,"280,000 Maninjau",,Indonesia,,,,Purbo-Hadiwidjoyo et al. (1979),,
270000,270000,"270,000 Aso",,Japan,,,80,24,"Newhall and Dzurisin (1988), Chen (2003), WEB3",
233000,233000,"233,000 Emmons Lake",,Alaska,,,>50,18x11,Waythomas et al. (2001),
230000,230000,"230,000 Maroa",,New Zealand,,,140,16x25,www.volcano.si.edu/world/volcanocfm?vnum=0401-061,
220000,220000,"220,000 Rotorua",,New Zealand,,,>340,22,www.volcano.si.edu/world/volcanocfm?vnum=0401042A,
300000,175000,"50,000 Uksichan II",,Kamchatka,,,,5,"Ogorodov et al. (1972), Leonov (2003), Erlich (1986)",
300000,175000,"50,000 Uksichan I",,Kamchatka,,,,18,"Ogorodov et al. (1972), Erlich (1986)",
300000,175000,"50,000 Perevalovy",,Kamchatka,,,,8,"Leonov (2003), Ogorodov et al. (1972)",
180000,165000,"150,000 Stena-Soboliny",,Kamchatka,,,,15x20,"Leonov (2003), Erlich (1986)",
180000,165000,"150,000 Polovinka (Krainy)",,Kamchatka,,,,15,"Leonov (2003), Erlich (1986), WEB3",
161000,161000,"161,000 Kos-Nisyros caldera",,Greece,Kos Plateau Tuff,,110,Allen (2001),,
140000,140000,"140,000 Aso",,Japan,,,80,24,"Newhall and Dzurisin (1988), Chen (2003), WEB1",
120000,120000,"120,000 Aso",,Japan,,,80,24,"Newhall and Dzurisin (1988), Chen (2003), WEB1",
120000,100000,"80,000 Bolshoi Semiachik I",,Kamchatka,,,,20x30,"Leonov (2003), WEB1",
95000,95000,"95,000 La Primavera",,Mexico,Tala Tuff,,20,11,"Lipman (2000), WEB1",
95000,95000,"95,000 Kikae",,Japan,,,,Chen (2003),,
95000,95000,"95,000 Ata caldera",,Japan,,,20,Chen (2003),,
110000,95000,"80,000 Odnobokii",,Kamchatka,,,,6,"Leonov (2003), Erlich (1986)",
90000,90000,"90,000 Aso",,Japan,,,80,24,"Newhall and Dzurisin (1988), Chen (2003), WEB1",
84000,84000,"84,000 Atitlan (Los Chocoyos)",,Guatemala,,,300,Vallance and Calvert (2003),,
90000,80000,"70,000 On-Take",,Japan,,,13,4x5,"Newhall and Dzurisin (1988), WEB1",
77000,73000,"69,000 Toba",,Indonesia,Younger Toba Tuff,,2800,"100x30 Rose and Chesner (1987), Zielinski et al. (1996)",,
58600,57300,"56,000 Tindfjallajökull",,Iceland,,,,,Ram et al. (1996),
57680,52680,"47,680 Z2 tephra possibly from Torfajokull an",d,Iceland,Thick tephra widely dispersed in N Atlantic,,,,Zielinski et al. (1997),
55000,52000,"49,000 Maninjau",,Indonesia,,,50,20x8,Allowaya et al. (2004),
43000,43000,"43,000 Golovnin",,Kamchatka,,,,4x5,"Braitseva et al. (1995), WEB1",
41600,40100,"38,600 Uzon-Geizernaya twinned caldera",,Kamchatka,,,1700,9x18,"Braitseva et al. (1995),Leonov (2003),Fedotov+Masurenkov (1991),WEB1",
40000,39500,"39,000 Opala",,Kamchatka,,,,14x12,"Braitseva et al. (1995), Leonov (2003), Erlich (1986), WEB1",
40000,39500,"39,000 Mendeleev",,Kamchatka,,,,6-7,Braitseva et al. (1995),
39390,39280,"39,170 Phlegraean Fields (Campian)",,Italy,Campanian Tuff,,150,13,"Fedele et al. (2002), Fedele et al. (2003)",
40000,39000,"38,000 Khangar II",,Kamchatka,,,,8,"Braitseva et al. (1995), Leonov (2003)",
38000,36500,"35,000 Krasheninnikov",,Kamchatka,,,,12,"Braitseva et al. (1995), Leonov (2003), Erlich (1986), WEB1",
34000,32500,"31,000 Shikotsu",,Japan,,,74,13x15,www.volcano.si.edu/world/volcanocfm?vnum=0805-04=,
31500,31500,"31,500 Akan",,Japan,,,60,13x24,"Goto et al. (2000), www.volcano.si.edu/world/volcanocfm?vnum=0805-07=",
30000,30000,"30,000 Kutcharo (Mashu)",,Japan,,,52,20x26,"Goto et al. (2000), Newhall and Dzurisin (1988), WEB4",
30000,30000,"30,000 Polovinka",,Kamchatka,,,,15,www.volcano.si.edu/world/volcanocfm?vnum=1000-125,
30000,30000,"30,000 Akademia Nauk (Karymskoe Lake)",,Kamchatka,,,,3x5,"Leonov (2003), Erlich (1986), WEB3",
50000,30000,"10,000 Prizrak II",,Kamchatka,,,,,Leonov (2003),
50000,30000,"10,000 Prizrak I",,Kamchatka,,,,6,"Melekestsev et al. (1974), Leonov (2003), Erlich (1986)",
50000,30000,"10,000 Ksudach II",,Kamchatka,,,,8,"Melekestsev et al. (1974), WEB1",
50000,30000,"10,000 Ksudach I",,Kamchatka,,,,9,"Melekestsev et al. (1974), Leonov (2003), Erlich (1986), WEB1",
26500,26500,"26,500 Taupo",,New Zealand,Oruanui,,530,35,Wilson (2001),
25000,24500,"24,000 Nemo Peak",,Kamchatka,,,,11,Braitseva et al. (1995),
24000,24000,"24,000 Aira (Sakurajima)",,Japan,,,450,17x23,Chen (2003),
23000,23000,"23,000 Apoyo",,Nicaragua,,,11,7,"Newhall and Dzurisin (1988), WEB5",
22000,22000,"22,000 COLDEST PART OF LAST GLACIAL MAXIMUM",,,,,,,Lisiecki and Raymo (2005),
20000,20000,"20,000 Maly Semiachik",,Kamchatka,,,,10,"Leonov (2003), Erlich (1986)",
22000,17000,"12,000 Emmons Lake",,Alaska,Dawson Tephra,,>50,18x11,"Waythomas et al. (2001), WEB3",
12657,12657,"12,657 Large sulfate anomaly in GISP2 cores",,Greenland,Leading into coldest part of the Younger Dryas,,,,WEB2,
11285,11285,"11,285 Large sulfate anomaly in GISP2 cores",,Greenland,Within the Pre-boreal oscillation,,,,"Taylor et al. (1997), WEB2",
9537,9487,"9,437 Lvinaya Past",,Kuril Islands,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
9617,9467,"9,317 Pinatubo",,Philippines,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
9627,9427,"9,227 Fisher",,Alaska,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
