Oldest Age - Years BP,Ave Age -Years BP,Young Age - Years BP,Volcano (OR GEOLOGIC AGE),Location,Deposit (OR GEOLOGIC EVENT),VEI,Volume – km3,"Caldera -Diam, kmReference",(WEB1-WEB5 abbreviations expanded at the end),
1810000,910000,"10,000 Rotorua",,New Zealand,,,,22,Newhall and Dzurisin (1988),
10000,5000,,0 Karkar,Papua New Guinea,,,,55,Newhall and Dzurisin (1988),
10000,5000,,0 Dakataua,Papua New Guinea,,,,135,Newhall and Dzurisin (1988),
2590000,1295000,0 Witori,,Papua New Guinea,,,,7,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Lolobau Island",,Papua New Guinea,,,,55,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Long Island (Lake Wisdom)",,Papua New Guinea,,,,125,Newhall and Dzurisin (1988),
Unknown,,,Umboi (Talo),Papua New Guinea,,,,17,Newhall and Dzurisin (1988),
Unknown,,,Tofua,Tonga,,,,5,Newhall and Dzurisin (1988),
Unknown,,,Niuafo'ou,Tonga,,,,5,Newhall and Dzurisin (1988),
10000,5000,,0 Ambrym,Vanuatu,,,,12,Newhall and Dzurisin (1988),
2590000,1295000,0 Aoba,,Vanuatu,,,,6,Newhall and Dzurisin (1988),
Unknown,,,Gaua Island,Vanuatu,,,,9,Newhall and Dzurisin (1988),
10000,5000,,0 Aniakchak,Alaska,,,,10,Newhall and Dzurisin (1988),
10000,5000,,0 Emmons Lake (Pavlof),Alaska,,,,18,Newhall and Dzurisin (1988),
10000,5000,,0 Fisher,Alaska,,,,18,Newhall and Dzurisin (1988),
10000,5000,,0 Okmok,Alaska,2 calderas 10 x 10 km from two eruptions,,,10,Newhall and Dzurisin (1988),
10000,5000,,0 Veniaminof,Alaska,,,,11,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Little Sitkin",,Alaska,,,,5,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Ugashik (Peulik)",,Alaska,,,,6,Newhall and Dzurisin (1988),
Unknown,,,Kanaton (Kanaga),Alaska,,,,6,Newhall and Dzurisin (1988),
Unknown,,,Semisopochnoi (Cerberus),Alaska,,,,8,Newhall and Dzurisin (1988),
Unknown,,,Tanaga,Alaska,,,,11,Newhall and Dzurisin (1988),
Unknown,,,Wrangell,Alaska,,,,15,Newhall and Dzurisin (1988),
10000,5000,,0 Kilauea,Hawaii,,,,5,Newhall and Dzurisin (1988),
10000,5000,,0 Mauna Loa,Hawaii,,,,8,Newhall and Dzurisin (1988),
2590000,1295000,,0 Haleakala (Maui),Hawaii,,,,95,Newhall and Dzurisin (1988),
2590000,1295000,,0 Koolau (Oahu),Hawaii,,,,15,Newhall and Dzurisin (1988),
2590000,1295000,,0 Palwai (Lanai),Hawaii,,,,6,Newhall and Dzurisin (1988),
2590000,1295000,,0 East Molokai,Hawaii,,,,5,Newhall and Dzurisin (1988),
2590000,1295000,,0 Kahoolawe,Hawaii,,,,5,Newhall and Dzurisin (1988),
Unknown,,,North Pagan,Marianna Islands,,,,7,Newhall and Dzurisin (1988),
