Depth ice/snow [m]	Gas age [ka BP]	CH4 [ppbv]
2927.4	284.6750000	438.000
2927.7	284.7420000	498.000
2929.0	285.0880000	442.000
2929.5	285.2110000	474.000
2930.4	285.4350000	453.000
2930.8	285.5300000	463.000
2932.1	285.8270000	461.000
2932.5	285.9290000	440.000
2933.6	286.1860000	538.000
2935.1	286.5100000	479.000
2935.5	286.6070000	472.000
2936.7	286.8840000	472.000
2939.3	287.4420000	498.000
2939.4	287.4650000	495.000
2939.7	287.5160000	509.000
2941.1	287.7500000	497.000
2941.5	287.8190000	508.000
2942.7	287.9970000	514.000
2944.1	288.2160000	552.000
2944.5	288.2840000	516.000
2945.4	288.4370000	502.000
2947.1	288.7680000	520.000
2947.5	288.8650000	509.000
2948.7	289.1230000	520.000
2950.1	289.4440000	522.000
2951.2	289.6860000	522.000
2953.1	290.0890000	526.000
2953.5	290.1840000	505.000
2954.4	290.3790000	455.000
2954.6	290.4310000	529.000
2956.1	290.7630000	439.000
2956.5	290.8610000	430.000
2957.7	291.1270000	442.000
2959.5	291.5600000	424.000
2960.0	291.6860000	453.000
2960.4	291.7790000	425.000
2964.5	292.8160000	430.000
2965.7	293.1640000	418.000
2967.5	293.6480000	458.000
2968.9	294.0300000	503.000
2970.1	294.3300000	495.000
2970.5	294.4530000	448.000
2971.7	294.7760000	458.000
2973.1	295.1600000	461.000
2973.9	295.3890000	507.000
2974.4	295.5200000	502.000
2976.1	295.9380000	538.000
2976.5	296.0510000	559.000
2977.4	296.2830000	538.000
2978.6	296.5800000	539.000
2979.5	296.8260000	464.000
2980.7	297.1550000	446.000
2982.4	297.6650000	450.000
2983.4	297.9600000	490.000
2985.1	298.4350000	469.000
2986.0	298.7020000	470.000
2986.4	298.8100000	492.000
2988.1	299.2430000	468.000
2988.6	299.3740000	482.000
2989.6	299.6240000	582.000
2991.0	299.9850000	560.000
2991.5	300.1130000	462.000
2992.4	300.3690000	468.000
2992.7	300.4540000	500.000
2994.0	300.8570000	509.000
2994.5	301.0220000	522.000
2995.8	301.4460000	463.000
2997.1	301.9180000	459.000
2997.5	302.0800000	454.000
2998.4	302.4110000	449.000
3000.1	303.0000000	442.000
3000.4	303.1160000	433.000
3001.6	303.5380000	437.000
3001.9	303.6300000	436.000
3003.0	303.9670000	448.000
3003.5	304.0980000	438.000
3004.7	304.4360000	457.000
3006.0	304.8300000	413.000
3006.9	305.0690000	443.000
3007.4	305.2120000	449.000
3008.6	305.5320000	478.000
3009.5	305.7750000	475.000
3010.4	306.0160000	470.000
3012.5	306.5780000	475.000
3013.7	306.9100000	408.000
3015.6	307.4910000	429.000
3016.7	307.8020000	439.000
3018.0	308.1910000	523.000
3018.5	308.3230000	468.000
3021.1	308.9980000	454.000
3021.5	309.1100000	464.000
3022.4	309.3450000	474.000
3024.1	309.7790000	453.000
3024.9	310.0080000	466.000
3025.4	310.1470000	413.000
3027.1	310.6370000	481.000
3027.7	310.8350000	460.000
3028.7	311.1320000	475.000
3029.9	311.5180000	479.000
3030.4	311.6670000	487.000
3031.4	311.9730000	446.000
3033.1	312.4620000	505.000
3033.5	312.5910000	486.000
3034.6	312.8830000	529.000
3036.5	313.3400000	511.000
3039.5	314.0490000	545.000
3040.4	314.2760000	505.000
3040.9	314.4080000	561.000
3042.5	314.8330000	539.000
3043.7	315.1510000	551.000
3045.1	315.5330000	562.000
3045.5	315.6550000	603.000
3046.4	315.9010000	546.000
3048.0	316.3270000	548.000
3048.5	316.4360000	568.000
3049.6	316.6880000	606.000
3049.8	316.7450000	567.000
3051.1	317.0430000	555.000
3051.5	317.1470000	588.000
3052.7	317.4390000	453.000
3054.1	317.8070000	444.000
3054.5	317.9300000	435.000
3055.6	318.2260000	442.000
3055.7	318.2740000	421.000
3057.1	318.6610000	460.000
3057.7	318.8500000	443.000
3058.9	319.2620000	469.000
3060.5	319.8260000	457.000
3063.5	320.9130000	478.000
3064.4	321.2100000	475.000
3066.5	321.8150000	478.000
3070.4	322.8430000	500.000
3072.5	323.3800000	488.000
3073.6	323.6610000	480.000
3075.6	324.2200000	522.000
3078.5	325.0050000	570.000
3079.4	325.2460000	616.000
3081.6	325.8230000	561.000
3082.4	326.0360000	573.000
3084.6	326.6140000	589.000
3087.8	327.4330000	624.000
3088.4	327.5830000	611.000
3090.5	328.0850000	620.000
3093.5	328.7680000	621.000
3094.4	328.9700000	612.000
3096.4	329.4010000	639.000
3097.8	329.7010000	633.000
3098.4	329.8250000	615.000
3099.5	330.0510000	627.000
3102.5	330.6730000	637.000
3103.4	330.8620000	612.000
3105.5	331.2920000	639.000
3106.4	331.4940000	649.000
3109.5	332.2720000	636.000
3111.5	332.7960000	604.000
3112.5	333.0280000	570.000
3114.8	333.4990000	604.000
3117.5	333.9950000	647.000
3118.9	334.2460000	676.000
3119.7	334.3820000	665.000
3120.6	334.5420000	731.000
3121.7	334.7380000	731.000
3123.5	335.1000000	773.000
3126.5	335.7050000	575.000
3127.4	335.8880000	557.000
3129.9	336.3750000	581.000
3132.4	336.8660000	588.000
3133.6	337.1000000	559.000
3135.5	337.5140000	558.000
3138.5	338.2110000	537.000
3139.9	338.5630000	509.000
3141.5	338.9890000	517.000
3145.0	339.9810000	471.000
3145.4	340.1000000	473.000
3147.5	340.7320000	451.000
3151.4	342.0460000	455.000
3153.5	342.7880000	458.000
3156.5	343.9200000	371.000
3157.4	344.2500000	418.000
3159.5	344.9980000	383.000
3162.8	346.3160000	342.000
3165.5	347.5400000	369.000
3166.4	347.9310000	388.000
3169.0	349.1350000	422.000
3169.8	349.5110000	431.000
3171.5	350.3090000	397.000
3174.5	351.6710000	442.000
3175.5	352.1120000	404.000
3177.8	353.1700000	406.000
3180.5	354.4090000	384.000
3181.6	354.9040000	384.000
3183.4	355.8120000	398.000
3186.5	357.3980000	391.000
3187.4	357.8840000	415.000
3189.5	359.0050000	386.000
3192.5	360.6780000	392.000
3193.4	361.2040000	415.000
3195.7	362.5060000	384.000
3199.0	364.5470000	399.000
3200.0	365.1840000	399.000
3201.4	366.0560000	396.000
3202.7	366.8310000	407.000
3204.7	368.0600000	454.000
3205.4	368.4790000	345.000
3207.5	369.6150000	422.000
3210.6	371.4440000	386.000
3213.7	373.4510000	397.000
3216.5	375.2350000	432.000
3217.4	375.7890000	434.000
3219.5	377.0290000	463.000
3222.5	378.7540000	517.000
3223.4	379.3220000	517.000
3225.5	380.6880000	405.000
3228.9	382.9250000	432.000
3229.4	383.2490000	427.000
3231.5	384.5510000	482.000
3234.5	386.2790000	473.000
3235.4	386.7530000	457.000
3237.5	387.8200000	521.000
3240.5	389.4050000	445.000
3243.5	390.9620000	516.000
3246.5	392.3260000	542.000
3247.3	392.6830000	539.000
3249.5	393.6500000	578.000
3252.5	395.1280000	567.000
3253.4	395.6010000	511.000
3255.5	396.6480000	544.000
3258.5	398.1150000	439.000
3261.5	399.5910000	448.000
3262.4	400.0390000	505.000
3264.5	401.0770000	478.000
3265.4	401.5170000	559.000
3267.5	402.4700000	550.000
3270.6	403.7160000	574.000
