
Depth ice/snow [m]	δD H2O [‰ SMOW]	δ18O H2O [‰ SMOW]
195.80	-388.4	-49.76
196.35	-400.4	-51.20
196.90	-392.7	-50.14
197.45	-391.0	-49.96
198.00	-392.5	-50.15
198.55	-397.7	-50.80
199.10	-399.8	-51.11
199.65	-398.7	-51.02
200.20	-403.7	-51.70
200.75	-397.4	-50.88
201.30	-391.7	-50.02
201.85	-394.5	-50.55
202.40	-396.8	-50.83
202.95	-399.2	-51.12
203.50	-394.0	-50.36
204.05	-391.4	-50.05
204.60	-403.5	-51.60
205.15	-389.5	-49.80
205.70	-399.9	-51.25
206.25	-397.4	-50.95
206.80	-398.6	-50.89
207.35	-394.1	-50.42
207.90	-398.4	-51.01
208.45	-401.7	-51.37
209.00	-392.6	-50.35
209.55	-395.4	-50.70
210.10	-402.1	-51.54
210.65	-403.6	-51.72
211.20	-396.5	-50.62
211.75	-402.5	-51.53
212.30	-398.8	-51.11
212.85	-397.0	-50.79
213.40	-389.4	-49.92
213.95	-395.0	-50.48
214.50	-404.9	-51.65
215.05	-402.2	-51.44
215.60	-389.2	-49.77
216.15	-397.0	-50.84
216.70	-401.8	-51.54
217.25	-398.4	-51.18
217.80	-407.8	-52.15
218.35	-395.4	-50.63
218.90	-403.1	-51.57
219.45	-406.1	-51.97
220.00	-390.4	-50.01
220.55	-392.6	-50.06
221.10	-395.7	-50.51
221.65	-402.9	-51.47
222.20	-401.9	-51.34
222.75	-401.2	-51.16
223.30	-400.4	-51.24
223.85	-397.5	-50.88
224.40	-389.4	-49.92
224.95	-395.4	-50.44
225.50	-387.9	-49.65
226.05	-398.3	-50.97
226.60	-398.7	-51.06
227.15	-401.3	-51.25
227.70	-396.8	-50.85
228.25	-395.6	-50.79
228.80	-402.5	-51.62
229.35	-399.5	-51.01
229.90	-397.8	-50.87
230.45	-400.5	-51.23
231.00	-400.8	-51.34
231.55	-396.1	-50.84
232.10	-405.3	-51.63
232.65	-411.9	-52.63
233.20	-401.7	-51.42
233.75	-399.3	-51.16
234.30	-404.7	-51.66
234.85	-403.1	-51.42
235.40	-402.3	-51.61
235.95	-396.1	-50.76
236.50	-388.3	-49.67
237.05	-398.5	-50.94
237.60	-406.3	-51.93
238.15	-399.9	-51.13
238.70	-404.7	-51.73
239.25	-403.8	-51.57
239.80	-395.0	-50.46
240.35	-402.8	-51.43
240.90	-404.2	-51.61
241.45	-399.1	-51.01
242.00	-393.3	-50.31
242.55	-399.1	-51.09
243.10	-389.2	-49.76
243.65	-397.7	-50.83
244.20	-388.4	-49.77
244.75	-400.3	-51.34
245.30	-403.7	-51.72
245.85	-398.3	-50.87
246.40	-396.1	-50.51
246.95	-390.7	-49.92
247.50	-404.7	-51.65
248.05	-400.2	-51.16
248.60	-388.5	-49.75
249.15	-390.4	-49.92
249.70	-405.5	-51.95
250.25	-399.5	-51.21
250.80	-402.1	-51.40
251.35	-402.2	-51.44
251.90	-395.2	-50.57
252.45	-391.6	-50.01
253.00	-396.5	-50.76
253.55	-399.5	-51.06
254.10	-400.6	-51.12
254.65	-401.6	-51.34
255.20	-400.6	-51.17
255.75	-406.3	-51.96
256.30	-398.3	-51.09
256.85	-411.7	-52.79
257.40	-399.8	-51.13
257.95	-396.9	-50.76
258.50	-401.4	-51.46
