Event (Core)	Eruption	Type	Depth ice/snow [m] (top)	Depth ice/snow [m] (bottom)	Age [ka BP] (AICC2012 Age)	[SO4]2- [ng/g] (Ion chromatography)	δ34S [‰ CDT] (Multi-collector inductively c...)	δ34S std dev [±] (2s, Multi-collector inductive...)	δ33S [‰ CDT] (Multi-collector inductively c...)	δ33S std dev [±] (2s, Multi-collector inductive...)	Δ33S [‰] (Multi-collector inductively c...)	Δ33S std dev [±] (2s, Multi-collector inductive...)	fV	fV std dev [±]	δ34S [‰ CDT] (Calculated, in volcanic fraction)	δ34S std dev [±] (s, Calculated, in volcanic fr...)	δ33S [‰ CDT] (Calculated, in volcanic fraction)	δ33S std dev [±] (s, Calculated, in volcanic fr...)	Δ33S [‰] (Calculated, in volcanic fraction)	Δ33S std dev [±] (s, Calculated, in volcanic fr...)
EDC	T3	Event	1081.28	1081.29	73.91	1178	4.51	0.15	2.11	0.18	-0.21	0.17	0.83	0.04	2.13	0.64	0.86	0.36	-0.24	0.14
EDC	T3	Event	1081.29	1081.30	73.91	976	9.60	0.15	5.30	0.18	0.36	0.17	0.80	0.04	7.89	0.42	4.53	0.21	0.47	0.10
EDC	T3	Event	1081.30	1081.31	73.91	600	12.91	0.15	7.02	0.18	0.39	0.17	0.67	0.05	11.22	0.41	6.38	0.20	0.62	0.15
EDC	T3	Event	1081.32	1081.33	73.92	462	13.97	0.15	7.59	0.32	0.42	0.32	0.57	0.06	12.18	0.48	7.04	0.59	0.79	0.58
EDC	T3	Background	1081.34	1081.38	73.92	197	16.32	0.15	8.31	0.18	-0.06	0.17								
EDC	T3	Event	1081.38	1081.42	73.92	212	16.76	0.15	8.36	0.18	-0.23	0.17								
EDML	T4	Background	1870.77	1870.87	74.02	81	14.79	0.11	7.56	0.10	-0.03	0.10								
EDML	T4	Event	1870.87	1870.91	74.02	263	15.19	0.11	7.77	0.10	-0.03	0.11	0.71	0.11	15.21	0.46	7.76	0.29	-0.04	0.37
EDML	T4	Event	1870.91	1870.93	74.02	666	1.85	0.11	0.55	0.09	-0.40	0.10	0.89	0.05	0.12	0.89	-0.38	0.49	-0.45	0.15
EDML	T4	Event	1870.93	1870.94	74.02	990	1.54	0.11	0.45	0.10	-0.35	0.10	0.92	0.04	0.40	0.66	-0.17	0.37	-0.37	0.13
