Gas age [ka BP]	CO2 [ppmv]
388.425000	255.2
390.390000	250.1
392.321000	266.3
392.976000	259.5
394.003000	273.6
394.906000	260.7
398.277000	276.3
399.925000	277.1
400.709000	283.2
402.141000	283.1
402.860000	275.7
404.313000	276.5
405.063000	280.5
406.542000	279.6
407.282000	285.6
408.819000	284.5
409.600000	275.2
409.600000	274.2
410.454000	282.6
411.350000	283.5
413.259000	274.9
414.210000	264.9
415.183000	271.6
415.944000	276.4
416.424000	271.7
417.439000	273.4
417.957000	271.8
418.506000	274.6
419.578000	273.7
420.132000	271.2
420.701000	273.8
421.908000	268.6
422.533000	266.4
423.227000	270.6
424.517000	267.7
425.131000	268.3
425.758000	270.8
426.241000	270.0
426.628000	265.4
427.143000	255.3
427.944000	252.1
428.840000	248.2
429.182000	242.5
431.011000	219.7
432.175000	227.2
433.846000	211.5
434.366000	207.6
435.923000	209.8
437.502000	207.5
439.051000	200.3
440.660000	201.7
442.228000	201.3
443.842000	202.0
445.320000	199.1
447.222000	201.1
448.461000	203.5
449.569000	208.1
450.659000	201.7
451.744000	201.2
452.745000	204.9
453.787000	201.9
454.854000	198.4
456.000000	193.3
457.124000	192.5
457.766000	199.1
458.210000	204.3
458.794000	203.3
459.215000	208.3
460.249000	202.4
461.279000	195.5
462.413000	190.7
463.518000	194.4
464.606000	199.9
465.262000	205.2
465.599000	210.0
466.644000	208.1
467.686000	204.4
468.878000	203.4
470.043000	205.5
470.712000	206.5
471.209000	215.5
471.841000	218.7
472.279000	229.2
472.876000	232.7
473.213000	243.7
473.796000	243.9
474.083000	245.6
474.963000	241.2
475.930000	233.1
476.964000	232.8
477.936000	236.6
478.886000	239.1
479.409000	236.5
479.774000	231.3
480.327000	220.8
480.727000	218.8
481.660000	223.8
482.576000	223.4
483.390000	227.3
484.177000	231.4
484.931000	231.4
485.665000	231.2
486.400000	233.0
487.130000	232.9
487.850000	231.3
488.568000	237.1
489.307000	242.0
489.722000	240.9
490.023000	252.8
490.495000	249.3
490.736000	242.6
491.444000	243.3
492.148000	246.7
492.865000	243.7
493.592000	239.7
494.300000	239.1
495.021000	238.3
495.726000	238.5
496.443000	237.6
497.196000	236.4
497.963000	236.5
498.735000	232.8
499.519000	230.6
500.306000	230.8
501.079000	228.2
